,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Fukuoka,Fukuoka,GPE,0.00000000,0.00000000,en,1.00000000,4125989-0,1863967,P,33.6,130.41667,ASIA,Japan,EAS
Yakutsk,Yakutsk,GPE,-0.10000000,0.10000000,en,1.00000000,4264832-4,2013159,P,62.03114,129.72288,ASIA,Russia,ESB
Siberia,Siberia,GPE,0.05000000,0.15000000,en,1.00000000,4286755-1,11961345,L,55.01565,82.96276,ASIA,Russia,WSB
Hualien Republic,Hualien Republic,GPE,-0.29166667,0.54166667,en,1.00000000,,0,,,,,,
Hualien City,Hualien City,GPE,-0.29166667,0.54166667,en,1.00000000,4406400-7,1674504,P,23.97694,121.60444,ASIA,Taiwan,EAS
Yuanhe Hope,Yuanhe Hope,GPE,-0.20000000,0.40000000,en,1.00000000,,0,,,,,,
Austin,Austin,GPE,-0.11666667,0.22500000,en,1.00000000,4079879-3,4671654,P,30.26715,-97.74306,NORTH-AMERICA,United States,CNA
Dawu Coastal Park,Dawu Coastal Park,GPE,0.02159091,0.55113636,en,1.00000000,,0,,,,,,
Miaoli County,Miaoli County,GPE,0.32500000,0.19166667,en,1.00000000,,0,,,,,,
Liuyang,Liuyang,GPE,0.20000000,0.50000000,en,1.00000000,,1802875,P,28.15861,113.62709,ASIA,China,EAS
Greenland Howed Island,Greenland Howed Island,GPE,0.04166667,0.17083333,en,1.00000000,,0,,,,,,
Ordos City,Ordos City,GPE,0.35000000,0.53750000,en,1.00000000,,0,,,,,,
Inner Mongolia Autonomous Region,Inner Mongolia Autonomous Region,GPE,0.35000000,0.53750000,en,1.00000000,4096284-2,2035607,A,43.5,114.75,ASIA,China,ECA
Waymo,Waymo,GPE,-0.31666667,0.30000000,en,1.00000000,,0,,,,,,
Geely,Geely,LOC,0.07777778,0.25555556,en,1.00000000,,0,,,,,,
Hsinchu County,Hsinchu County,GPE,0.10000000,0.30000000,en,1.00000000,,1675107,A,24.67416,121.16111,ASIA,Taiwan,EAS
the Hsinchu City,the Hsinchu City,GPE,-0.20000000,0.58333333,en,1.00000000,,0,,,,,,
Yongzhufang,Yongzhufang,GPE,0.35090909,0.63636364,en,1.00000000,,0,,,,,,
Qinghai Lake,Qinghai Lake,LOC,0.25000000,0.56250000,en,1.00000000,,1797903,H,36.92626,100.15969,ASIA,China,EAS
Wo'an,Wo'an,GPE,0.10000000,0.38333333,en,1.00000000,4122012-2,6094817,P,45.41117,-75.69812,NORTH-AMERICA,Canada,ENA
the Southern Hemisphere,the Southern Hemisphere,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
São Paulo's,São Paulo's,GPE,0.00000000,0.00000000,en,1.00000000,4264280-2,3467865,P,-22.90556,-47.06083,SOUTH-AMERICA,Brazil,SES
Malaysia,Malaysia,GPE,0.00000000,0.00000000,en,1.00000000,4037203-0,1733045,A,2.5,112.5,ASIA,Malaysia,SEA
Weiqiao,Weiqiao,GPE,0.13636364,0.45454545,en,1.00000000,,8721842,A,37.0305,117.49,ASIA,China,EAS
Perm,Perm,GPE,0.00000000,0.00000000,en,1.00000000,504439-X,511196,P,58.01046,56.25017,EUROPE,Russia,EEU
Xuhui District,Xuhui District,LOC,0.00000000,0.12500000,en,1.00000000,,1787956,A,31.1637,121.42799,ASIA,China,EAS
Notland,Notland,GPE,0.25000000,0.30000000,en,1.00000000,,0,,,,,,
Las Vegas,Las Vegas,GPE,0.13636364,0.45454545,en,1.00000000,4034659-6,5506956,P,36.17497,-115.13722,NORTH-AMERICA,United States,WNA
Landes,Landes,GPE,-0.26500000,0.28833333,en,1.00000000,,3007868,L,44.25,-1.0,EUROPE-AFRICA,France,MED
the Sun Island Scenic Area,the Sun Island Scenic Area,LOC,0.14659091,0.54488636,en,1.00000000,,0,,,,,,
42nd Antarctic,42nd Antarctic,LOC,0.10000000,0.30000000,en,1.00000000,,0,,,,,,
Oka Smart Ship,Oka Smart Ship,GPE,0.28571429,0.60714286,en,1.00000000,,0,,,,,,
Jialulan Recreation Area,Jialulan Recreation Area,LOC,0.02159091,0.55113636,en,1.00000000,,0,,,,,,
Sanya,Sanya,GPE,0.17000000,0.40291667,en,1.00000000,7500630-3,1796556,P,18.25435,109.50947,ASIA,China,SEA
Changchun,Changchun,GPE,0.00000000,0.25000000,en,1.00000000,4264120-2,2038180,P,43.88,125.32278,ASIA,China,EAS
Leapmotor,Leapmotor,GPE,0.13311688,0.42110390,en,1.00000000,,0,,,,,,
Longkeng,Longkeng,GPE,0.41212121,0.61818182,en,1.00000000,,8696452,A,27.5958,106.856,ASIA,China,EAS
New Taipei City's,New Taipei City's,GPE,0.02159091,0.55113636,en,1.00000000,,6642405,T,25.28602,121.59017,ASIA,Taiwan,EAS
Keelung Island,Keelung Island,GPE,0.02159091,0.55113636,en,1.00000000,,1671953,T,25.485,122.10556,ASIA,Taiwan,EAS
Yilan County,Yilan County,GPE,0.02159091,0.55113636,en,1.00000000,,1674199,P,24.757,121.753,ASIA,Taiwan,EAS
Guishan Island,Guishan Island,LOC,0.02159091,0.55113636,en,1.00000000,,1673419,T,24.84194,121.95194,ASIA,Taiwan,EAS
Taitung County,Taitung County,GPE,0.02159091,0.55113636,en,1.00000000,4406404-4,1668295,P,22.75991,121.14457,ASIA,Taiwan,EAS
Dushu Town,Dushu Town,GPE,0.00000000,0.06666667,en,1.00000000,,0,,,,,,
Green Island,Green Island,GPE,0.02159091,0.55113636,en,1.00000000,4464552-1,2190473,A,-45.95306,170.38722,OCEANIA,New Zealand,NZ
Jiangsu,Jiangsu,GPE,0.00000000,0.00000000,en,1.00000000,4075203-3,1799962,P,32.06167,118.77778,ASIA,China,EAS
Kuaishou,Kuaishou,GPE,-0.02556818,0.50000000,en,1.00000000,,0,,,,,,
Ningbo,Ningbo,GPE,0.01985480,0.42815657,en,1.00000000,4264941-9,1799397,P,29.87819,121.54945,ASIA,China,EAS
earth,earth,LOC,0.21428571,0.42857143,en,1.00000000,,0,L,0.0,0.0,,,
Nanyang City,Nanyang City,GPE,0.00000000,0.06666667,en,1.00000000,,1785655,P,33.44743,112.71422,ASIA,China,EAS
Henan Province,Henan Province,GPE,0.00000000,0.06666667,en,1.00000000,4025810-5,1808520,A,34.0,113.66667,ASIA,China,EAS
Yanshanpu Community,Yanshanpu Community,GPE,0.00000000,0.06666667,en,1.00000000,,0,,,,,,
Kirkland,Kirkland,GPE,0.00000000,0.00000000,en,1.00000000,,5992830,P,45.45008,-73.86586,NORTH-AMERICA,Canada,ENA
New York,New York,GPE,-0.01010101,0.24873737,en,1.00000000,4042011-5,5128581,P,40.71427,-74.00597,NORTH-AMERICA,United States,ENA
Tainan,Tainan,GPE,-0.26666667,0.33333333,en,1.00000000,4370348-3,1668355,P,22.99083,120.21333,ASIA,Taiwan,EAS
Hualien,Hualien,GPE,0.00000000,0.00000000,en,1.00000000,4406400-7,1674504,P,23.97694,121.60444,ASIA,Taiwan,EAS
Bortala Mongolian Autonomous Prefecture,Bortala Mongolian Autonomous Prefecture,GPE,0.40000000,0.70000000,en,1.00000000,,0,,,,,,
Zhongtong,Zhongtong,GPE,-0.15185185,0.22962963,en,1.00000000,,1784292,P,28.30127,116.96811,ASIA,China,EAS
Jinghe,Jinghe,GPE,0.23333333,0.23333333,en,1.00000000,,8707777,A,28.59791,112.83079,ASIA,China,EAS
Mobile,Mobile,GPE,0.13106061,0.44242424,en,1.00000000,4232068-9,4076598,P,30.69436,-88.04305,NORTH-AMERICA,United States,ENA
AReaL,AReaL,GPE,0.00000000,0.00000000,en,1.00000000,,6319101,A,-22.23423,-43.1219,SOUTH-AMERICA,Brazil,SES
Tsinghua,Tsinghua,GPE,0.10625000,0.42708333,en,1.00000000,,8384763,S,39.99596,116.31575,ASIA,China,EAS
CALIFORNIA,CALIFORNIA,GPE,-0.02121212,0.31818182,en,1.00000000,,11071615,L,34.68743,-116.78467,NORTH-AMERICA,United States,WNA
